1000 1
184 -754 357
-450 527 -530
-753 108 52
-680 -327 -983
-58 -426 711
-438 918 -696
-691 516 -158
345 976 758
97 -669 76
890 -154 763
-68 -868 -395
-123 -316 -146
-156 -881 332
668 -445 -594
549 756 197
-885 -28 756
-749 452 -973
-551 404 751
-338 197 -800
-626 888 -414
591 -165 315
810 813 985
-695 -167 -242
574 -427 518
-432 -871 -903
634 216 181
714 -78 -95
118 -785 386
-279 -501 -425
855 -365 829
-858 -159 -639
-390 266 882
-995 423 795
352 -20 291
630 982 241
-314 577 361
-802 -299 851
675 669 -106
953 967 704
-28 619 -921
-283 667 787
450 952 328
-798 -507 425
-925 -138 -755
738 -517 364
961 -170 -810
-251 517 -454
12 695 474
-704 830 598
627 426 -117
-639 -523 -850
894 -526 -657
361 -282 137
785 -25 -649
535 -390 -175
-753 -884 -128
-526 -664 773
-443 728 177
469 440 236
140 292 -139
405 173 -91
-252 775 252
-937 -407 418
982 -251 -612
337 -84 -662
111 -679 736
-214 174 765
-705 638 883
232 -85 -848
-90 -719 -434
-662 -507 -319
628 -645 -863
-260 546 -543
171 187 219
799 -748 -250
-84 -666 587
-827 -865 -409
-588 -437 98
-418 848 -918
804 440 818
-91 564 56
881 -461 -295
-49 306 1
-634 613 -163
465 944 -724
175 -289 574
-547 -497 985
455 675 -838
-622 509 506
-570 -670 169
-480 182 -577
252 912 67
70 946 742
-736 -698 -588
-536 -136 -725
-408 -616 -571
-13 47 -974
-72 -171 -220
-40 -191 -329
-610 -209 136
661 -839 498
124 111 -156
-68 756 274
-872 -391 399
620 89 -720
-855 -547 -475
-937 -232 -665
-524 -448 266
88 261 185
-12 533 983
-280 -247 21
967 -25 979
450 98 -638
17 935 -54
-404 767 -951
354 101 -312
-736 339 -166
-354 348 828
-864 -592 -391
-502 -464 335
-722 244 -758
-878 166 -421
887 869 -154
682 -351 -618
-123 627 865
-393 446 -474
-151 -882 -652
364 484 199
247 80 950
-667 438 574
-739 -230 1000
-626 113 -38
501 -336 194
301 973 45
-222 112 -280
-241 168 -122
731 294 304
-745 -205 -733
-704 -924 -508
-160 863 913
457 -647 -521
680 627 747
-837 300 24
-384 -865 183
-196 441 -321
-69 197 343
-287 174 742
-381 -940 -132
-187 246 970
-921 62 -741
-967 575 -707
381 -225 139
131 528 241
-181 5 -618
-36 877 766
-111 440 695
-252 273 992
629 -673 -930
-935 194 993
-285 510 215
47 -857 797
676 -136 -357
878 474 527
-472 -644 -386
69 549 -331
-26 -950 -393
379 -412 149
811 -32 -772
-440 751 0
600 997 -639
-725 -817 139
-674 -30 -968
332 59 841
-68 435 372
-258 389 -150
305 -897 -534
-273 669 70
544 149 898
-788 738 -369
320 -395 586
-59 213 -722
-246 -568 -608
-370 799 43
959 760 -526
695 86 -404
492 -541 614
-117 -831 409
346 568 152
-890 -292 231
-93 -556 926
710 -278 553
725 788 -606
234 -746 -451
466 -299 -95
-998 -220 612
578 -739 -31
-511 165 956
-499 -145 -234
-46 -178 -948
-102 -500 931
852 491 -83
409 -562 -791
-791 213 -975
-46 925 131
322 714 978
99 -362 566
548 251 -300
-65 -491 845
-890 -288 352
401 -192 47
31 -55 -897
507 -517 -410
-363 -629 586
935 879 -419
415 537 -978
-408 687 -967
169 462 -620
324 -333 -233
132 -449 -152
-866 -401 -343
-40 -305 -612
388 92 452
-738 -558 15
751 836 657
-965 -796 116
315 698 -1
-960 -635 976
-668 -827 -369
-119 135 352
530 -386 606
854 -895 545
-419 939 618
369 541 -559
560 361 418
-50 458 -12
61 -590 469
-545 -112 -311
-520 461 -19
-217 229 -226
818 577 -558
463 657 219
178 969 420
54 -883 136
-543 507 -783
-372 499 383
10 874 -870
282 -880 -698
-739 235 -417
-381 842 743
-81 -545 320
-676 -994 219
476 -848 254
-481 586 -855
-245 -738 803
277 -774 -468
430 69 -327
527 -744 395
290 353 -251
-67 831 -575
-452 418 -173
-170 -107 517
426 -468 832
-948 -463 -293
316 -726 -549
-543 668 -669
158 -76 -451
-804 580 929
-185 -43 973
26 984 948
-670 401 -309
195 253 651
870 398 632
298 882 497
-518 -483 -754
879 -794 31
61 726 -381
-659 553 89
-241 -828 612
600 -633 104
226 -887 620
898 -435 -537
962 -546 -317
450 986 -724
534 287 -628
666 -44 -67
-25 -625 767
514 -448 -28
-792 58 131
8 834 -92
-3 118 -658
653 459 805
470 -482 -220
-392 -550 236
954 -329 -513
559 -380 593
-298 545 -377
789 23 -9
393 -865 184
-801 97 -353
-498 454 -829
-509 907 279
564 -820 -944
903 -333 280
-329 137 986
427 -530 88
-992 -417 659
-590 811 -235
-841 -329 561
-260 -709 735
-209 286 52
309 -346 609
904 959 740
-835 -930 -44
-595 113 -188
424 292 -871
825 976 599
399 388 -143
532 547 -259
837 -999 896
864 -182 977
16 850 -220
273 -545 752
93 -755 -704
614 -778 -752
557 -978 -659
-839 900 595
46 -70 852
-202 -281 387
-232 -4 -484
377 10 121
932 -625 -789
510 -436 -146
-519 -228 -618
-461 419 572
372 -670 224
886 -343 134
621 -729 -514
-941 -861 433
253 -532 -782
-652 178 -819
-550 175 -430
-388 845 222
197 737 728
164 214 -566
-793 537 -141
529 -734 -341
212 -148 -962
483 -797 132
816 -673 457
-855 904 -467
953 -398 -253
-205 -429 227
873 866 23
327 -35 -351
611 -360 91
524 849 306
-459 272 354
318 304 173
540 837 -231
67 826 -328
175 -202 -465
-931 485 293
-587 -168 -909
516 -156 525
-130 -407 981
975 -840 574
-382 -71 -984
317 676 79
297 -684 949
337 764 -210
509 -700 -292
366 -480 -6
-426 -879 -449
-546 786 -520
-232 541 -329
-605 -446 63
557 994 -280
-338 52 362
7 -350 226
-404 912 -122
-756 -995 -587
529 -433 -731
250 -82 583
697 -503 -430
-732 -328 -715
521 776 191
896 -996 810
-158 -801 -845
731 273 861
124 -75 -323
590 -959 -196
284 558 718
736 -991 -845
-609 787 392
367 -689 280
-854 -275 -176
681 421 -547
422 -469 451
-127 -540 -394
231 -687 986
-616 -216 -767
-806 -288 976
-489 753 -375
449 93 -259
-99 114 -413
367 885 825
-390 -92 -311
-910 -78 897
-932 -502 47
566 7 -770
764 -406 -955
640 -199 743
641 -638 -157
565 659 -669
897 148 -752
42 -968 656
296 236 -568
-516 853 140
-121 -461 700
-439 -57 -94
802 -439 -724
673 611 519
267 73 355
155 -490 -435
-124 -431 886
930 -467 923
-469 -772 863
-804 -476 608
268 -276 -454
-82 397 718
566 -777 -398
-425 119 100
763 975 951
695 -429 -826
82 804 -17
552 979 187
264 -541 230
-915 374 -808
263 -252 221
954 -727 218
29 -49 -444
-693 68 -641
770 -223 651
759 -825 237
-801 867 -918
570 -878 -605
899 -458 -439
-427 -494 637
989 571 343
-499 636 -54
60 213 785
248 -151 550
344 -390 357
-873 -46 -375
-875 116 399
274 -120 -125
-792 599 762
739 -407 -545
442 9 -351
-234 901 148
-458 -399 -844
-285 -290 -659
905 521 -972
-684 -908 -542
519 856 -46
342 -345 43
-988 472 71
-159 -682 970
-954 8 697
762 833 -418
898 143 -937
316 693 -363
562 272 -929
411 54 80
-905 -438 -509
537 -549 -471
872 229 101
-954 411 -661
787 37 -611
-861 -426 326
-88 -970 -62
401 162 -26
1 -231 -208
-769 582 137
-398 939 -170
-834 41 502
18 -969 -16
388 -525 -429
-742 -666 690
314 22 662
-449 -10 -922
-510 475 572
352 -930 463
-362 -102 553
-974 -289 -304
249 -14 -746
204 -838 408
-72 -729 594
106 -133 -29
560 230 354
959 533 -968
793 160 -206
390 -746 253
596 -118 993
-490 -265 222
16 -822 151
-558 -296 419
-754 -607 -431
-3 409 137
570 -677 401
-633 257 893
-60 -256 430
-305 710 520
322 -160 -624
-499 939 -545
-705 971 554
-300 888 -366
-846 160 611
-439 -922 572
-263 -957 837
722 -811 249
158 201 -101
-424 -165 -716
-773 -274 454
-375 -390 143
-749 -751 -400
-208 195 749
1000 -28 766
159 906 966
416 -19 863
-155 -972 832
887 440 -477
580 -704 876
-261 -576 -753
369 4 41
